_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65b326fe11c8b786c0dcd718||103.92|100|103.92|77|55,0,0,0|words|10|-1|3|6.35|0|6.87|false|false|english|none|master|false|false|false||1706239742000
65b326e511c8b786c0dcd667||104.98|100|104.98|66.67|45,0,0,0|words|10|-1|0|5.14|0|0|false|false|english|none|master|false|false|false||1706239717000
65b326dd11c8b786c0dcd636||98.1|100|98.1|78.88|55,0,0,0|words|10|-1|12|6.73|0|35.54|false|false|english|none|master|false|false|false||1706239709000
65b3269911c8b786c0dcd46b||100.23|100|100.23|89.2|46,0,0,0|words|10|-1|5|5.51|0|8.41|false|false|english|none|master|false|false|false||1706239641000
65b3268011c8b786c0dcd3a6||101.28|100|101.28|73.21|50,0,0,0|words|10|-1|11|5.92|0|32.85|false|false|english|none|master|false|false|false||1706239616000
65b3263b11c8b786c0dcd1b5|true|105.7|100|105.7|87.73|42,0,0,0|words|10|-1|5|4.77|0|6.74|false|false|english|none|master|false|false|false||1706239547000
65b3262311c8b786c0dcd0fe||94.75|100|94.75|69.42|43,0,0,0|words|10|-1|1|5.45|0|2.9|false|false|english|none|master|false|false|false||1706239523000
65b3261511c8b786c0dcd084||95.55|100|95.55|88.2|53,0,0,0|words|10|-1|0|6.66|0|0|false|false|english|none|master|false|false|false||1706239509000
65b3260b11c8b786c0dcd03e||101.4|100|101.4|83.78|50,0,0,0|words|10|-1|0|5.92|0|0|false|false|english|none|master|false|false|false||1706239499000
65b3260111c8b786c0dccfe7|true|105.55|100|105.55|92.23|49,0,0,0|words|10|-1|1|5.57|0|0.01|false|false|english|none|master|false|false|false||1706239489000
65b3259111c8b786c0dccc8c||99.71|100|99.71|91.18|49,0,0,0|words|10|-1|0|5.9|0|0|false|false|english|none|normal|false|false|false||1706239377000
65b3258a11c8b786c0dccc51||82.93|98.21|82.93|78.84|55,0,0,0|words|10|-1|2|7.96|0|9.64|false|false|english|none|normal|false|false|false||1706239370000
65b3257111c8b786c0dccb68||106.82|100|106.82|71.16|46,0,0,0|words|10|-1|6|5.17|0|13.07|false|false|english|none|normal|false|false|false||1706239345000
65b3255611c8b786c0dcca97||91.57|100|91.57|63.33|55,0,0,0|words|10|-1|5|7.21|0|12.59|false|false|english|none|normal|false|false|false||1706239318000
65b3253b11c8b786c0dcc9d0||77.32|90.38|93.5|79.18|43,2,2,0|words|10|-1|2|6.67|0|6.61|false|false|english|none|normal|false|false|false||1706239291000
65b3252b11c8b786c0dcc959||96.66|100|96.66|80.57|56,0,0,0|words|10|-1|3|6.95|0|6.97|false|false|english|none|normal|false|false|false||1706239275000
65b3251811c8b786c0dcc8bb||95.29|100|95.29|85.01|46,0,0,0|words|10|-1|1|5.79|0|1.13|false|false|english|none|normal|false|false|false||1706239256000
65b3250e11c8b786c0dcc861||100.91|100|100.91|68.76|52,0,0,0|words|10|-1|9|6.18|0|24.45|false|false|english|none|normal|false|false|false||1706239246000
65b324e211c8b786c0dcc6fa||96.79|100|96.79|87.36|45,0,0,0|words|10|-1|2|5.58|0|7.68|false|false|english|none|normal|false|false|false||1706239202000
65b324cf11c8b786c0dcc660||105.59|100|105.59|66.67|45,0,0,0|words|10|-1|10|5.11|0|30.99|false|false|english|none|normal|false|false|false||1706239183000
65b3248511c8b786c0dcc411|true|109.53|100|109.53|94.62|44,0,0,0|words|10|-1|1|4.82|0|1.2|false|false|english|none|normal|false|false|false||1706239109000
65b3247c11c8b786c0dcc3c0||88.65|97.73|88.65|73.65|43,0,0,0|words|10|-1|2|5.82|0|1.82|false|false|english|none|normal|false|false|false||1706239100000
